sample_id,text,admiration,amusement,anger,annoyance,caring,confusion,curiosity,disappointment,disgust,excitement,fear,gratitude,joy,love,optimism,remorse,sadness,surprise
PP-R016,"I really enjoy writing and journaling, but I can't keep up with it.",0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP-R017,I've been having a rough few weeks since I've been spending an ungodly amount of time studying,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
PP-R018,"I hope we’ve crossed paths and smiled at each other. I love to brighten others days, and I hope one was yours.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
PP-R019,I looked forward to seeing him each morning and would stop to ask how he was doing.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
PP-R020,His grumpiness was instantly gone and he flashed back a most brilliant smile!,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
PP-R021,"I felt like even if I didn't matter to another person, I mattered to him.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0
PP-R022,I’m in my 30s but I have honestly never felt older than I did right then.,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.5
PP-R023,"Me, my husband and our three year old as we sang goofy songs together.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
PP-R024,We talked for almost half an hour about everything and nothing.,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
PP-R025,"Instead, I only journal when I’m upset.",0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
PP-R026,"I awkwardly avoid my journal altogether because I don’t want to read the old, painful entries!",0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
PP-R027,I literally don’t know what else I’d say.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP-R028,a vast majority of days just feel so routine and not noteworthy.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP-R029,Some days I work sun up to sun down so there's 0 time to write.,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
PP-R030,I hope that she knows that she made my day and I am extremely grateful,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0
PP-R031,basically makes me wake up and find motivation on my way to the bus every morning!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PP-R032,those people make my day 😊😁,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0
PP-R033,this post made my day and enlightened my mood.,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0
PP-R034,"Last night I saw a toad with a smaller, baby toad. They were eating bugs together in the driveway and I just thought it was cute :)",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PP-R035,My partner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP-R036,My family and friends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP-R037,I have coffee chilling in the fridge for an iced coffee this morning,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
PP-R038,It made me a little happier that you said that :),0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0
PP-R039,A coworker told me it was work a clock after drawing a wristwatch on his hand.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
PP-R040,someone on reddit said i asked a good question on the cooking subreddit,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
PP-R041,my partner wrote me a sweet message.,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0
PP-R042,I'll smile right now for absolutely no fucking reason!   I'm limitless in my madness!,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
PP-R043,😀 ok this made me smile,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
PP-R044,it made my insides smile because work is usually a toxic wasteland,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
PP-R045,"Today, my dog got a new ball and has been going absolutely bonkers with it!",0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
PP-R046,My dog resting her head on a pillow. It was very cute.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
PP-R047,My physical therapist told me I’m doing an exceptional job after my surgery. Best he’s seen in years!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0
PP-R048,She is so annoying but so cute at the same time,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP-R049,Found out that my job got me a discount on a brand new Apple Macbook!,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
PP-R050,"It wasn't very much, but as a very avid penny-pincher I was thrilled.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PP-R051,My cat chasing a butterfly,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
PP-R052,she's back and hands me a coffee and hugs me before leaving again.,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
PP-R053,I used to write every day. And it got boring ans what i wrote waa boring too.,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
PP-R054,i guess I'm tired of writing the same things over and over?,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP-R055,Having a job. It's shit pay and dead end and it makes me miserable but I get to be productive and earn some money.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PP-R056,This is the kind of chill mindset i wanna develop for myself and i always fail to.,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PP-R057,Felt great suddenly I got a cramp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
PP-R058,how do i start taking things lightly and just not worry and overthink about every little thing?,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
PP-R059,I am grateful for my health! 🙏😊,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
PP-R060,You just made me feel that's ok. Ty 😊,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0
PP-R061,this cute guy gave me a crumb of attention!,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
PP-R062,i beat this gym leader in pokemon today!,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PP-R063,it also felt kinda foreign reading it again.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP-R064,the hugs I received since I’m getting ready to transfer from one location to another location at my job ❣️,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
PP-R065,I feel the same way! 💕,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
PP-R066,every time after a while journaling starts to feel awkward.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP-R067,Sorry for the level of corn 😅,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP-R068,"I also find it to be disgusting, gross and evil.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP-R069,i just say you're in the fucking way tbh,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP-R070,"I went to my favorite coffee shop, and they gave me a free coffee.",0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PP-R071,a random person at the grocery store who complimented my sneakers.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0
PP-R072,It was just witty banter during a social interaction with someone in my community.,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
PP-R073,Me and my girlfriend ask each other what our favorite part of the day was every night before we go to bed.,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
PP-R074,"There is a street dog near my home, which wagged its tail every single time someone said ""Hi"".",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PP-R075,my oldest dog grumbling for her breakfast,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
PP-R076,the frequent meows of my very talkative little cat telling me what's on her mind,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
PP-R077,"I woke up 🥹 it’s a new dawn, it’s a new day!",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0
PP-R078,When someone complimented my t shirt of a band called The Cure.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
PP-R079,laying in bed with her talking about our favorite parts of the day has become my favorite part of the day.,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
PP-R080,Listening to my 2yo singing along,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
PP-R081,My newborn smiling in his sleep,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
PP-R082,Sunshine :) and that the spider i saw and googled is harmless to humans hahhaa,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
PP-R083,"Yesterday I lost an earring, searched everywhere for it but couldn't find it.",0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
PP-R084,"Today I dropped a pencil and when I went to pick it up, I found my lost earring.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PP-R085,"Gave me a compliment, unexpected compliments can make my day",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP-R086,I feel embarrassed to be real with myself,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP-R087,even writing a recap of my day makes me feel distant/detached,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP-R088,my brain freezes and becomes like overwhelmed,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP-R089,I get overwhelmed kinda easily,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP-R090,then I would feel a bit awkward that I typed in here 😭,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP-R091,i get so angry i just feel horrible,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP-R092,"I have some delivery packages, but the delivery guys do not have their own dolly. Therefore, quite often, I need to lend him mine.",0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP-R093,"It’s my first to move-in day volunteer. Different from my expectation, it’s to assist first-year students with moving luggage. So tired. Between 9 am to 1 pm, I helped 10+ family to move their luggage. All of them took tons of luggage. I am not exaggerating, literally, mountain piles. But totally understood, first time to leave from home and start a new chapter, which reminded me my first day entering to this campus. I received thanks from them, and felt their happiness and looking forward to the future. It seems every student felt they are lucky to get exactly the room they want, some lived in high floor with good view, some lived close to emergency exit. I met different families from different backgrounds. One is Canadian family from Calgary, a mother and her daughter. To my surprise, they didn’t went to Moraine Lake yet, that’s a bit pity. One is very complex: father is Chinese, mother is Korean and met in France. I heard they communicated with four languages, Eng, French, Korean, Mandarin. One girl is from India, with parents and elder brother. They had the least luggage, simple but sufficient. (Biaoyang) They are kind. TBH, I was a bit biased before, but I met many friendly Indians, who are willing to help you. The girl told me she wanted to major in microbiology and immunology. (respect!) Overall, I felt it’s worth being volunteer. And happy to meet new people. I added another volunteer’s Ins, who majors in psychology cuz I wanted to persuade her to try and take Psyc 309 together next term lol.",0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
PP-R094,"I recently went to Hong Kong to visit two friends, one of whom was my college roommate. The last time we saw each other was at our undergrad graduation last year, so it had been a while. Moving forward, meeting up with certain people—including family and friends—is going to become fewer and far between. In the end, I went to the beach with a friend I met during my internship. Hanging out by the sea really melts the stress away.",0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP-R095,"In an in-person training session for an event, there were around 70-ish participants, and everyone had a chance to win a hoodie by lottery. I was the only one selected.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5
PP-R096,My landlord handed me some tomatoes that they planted and grew. I used them to make delicious food. We also had a short conversation regarding my recent experience and future plan.,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0
PP-R097,"I spent a long time doing perler-bead crafts today. I kept miscounting the grids and my hands shook constantly. My eyes and back started to ache, yet I still felt a little proud of what I was making. x",0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP-R098,"Yesterday I met a former colleague for breakfast. She is the most chaotic person I have ever known. It's always an adventure! I sat there sipping my coffee as the text came through telling me she was running late. I expected that even though she had initially told me our meeting could only last 46 minutes as she had another commitment afterwards. Then came the next text. She was late because her pregnant daughter was en route home from India when her flight was detained due to issues with flights over Pakistan. It's never a little issue with her, God lover her. Once she arrived we had a lovely meal before she scurried off, now late for her next meeting.",0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
PP-R099,"nothing dramatic just a screwed up day. i was anxious most of the day and felt out of it. i went with my car to do an errand and ended up driving aimlessly in a rural area near my home. i stopped at a restaurant and ate which helped calm me. I went home, did some minor housework and distracted my self by watching TV. I hoped for better times.",0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
PP-R100,"Yesterday my youngest son needed to see a doctor. He has been having ear pain and woke up Monday to find that one of his ears was bleeding inside. That afternoon I tried to get an appointment in an urgent care facility but after waiting over two hours I was told they had an emergency and couldn’t see him that day. So I tried again yesterday, but to no avail. The clinic was full again and another location that they referred us to was overbooked. So, as a last resort, I called the pediatrician (who I thought wouldn’t be able to fit us in at the last minute). He had an opening for a “virtual “ appointment. It only took about 5 minutes and we didn’t even have to leave the house!",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PP-R101,"Nothing particularly interesting happened yesterday. It was a typical day. It snowed for most of the day so I didn't take my daily walk. Instead I spent much of the day reading and writing. I started a new book called The Last Bookshop in London. It's a work of historical fiction that deals with London just before and during WWII. The main character has just moved to London from the English countryside and takes a job as an assistant in a book store. She isn't a book person and knows absolutely nothing about books. I love history and my favorite genre to read is historical fiction. I can't imagine someone who doesn't read books, but that's one of the things that makes this book so interesting. I assume there will be a love interest coming along too. I also spent a good bit of the day writing. I am a children's writer and am in the midst of a freelance writing project. I also listened to a zoom meeting about writing in the evening. After that I sat down with my husband to watch a little TV. I crocheted while watching.",0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
PP-R102,"Yesterday was just another Covid 19 social isolation day. Suuny, and pleasant, although not super warm here in the Chicago area. Lots of people out and about, taking the kids for a walk and going for runs with the puppies, etc... Our house is filled with sunlight when the sun is out, so that really cheers me up alot. I watched the morning news, had my coffee, took a shower, because my hair was all glued together! I m trying to be more like my usual self and pay better attention to my grooming, as I usually do, as this pandemic has made me a little cavalier about that! I figure my husband has to look at me, so I should try to look a bit nicer ..even if I'm not going out, so I do make the effort...most days! I went downstiars after fixing myself up, and my husband was working out, so I got started on my workout,.. We are both 69, and my husband has numberous serious health problems, walks and does calisthenics.I will say here, that we only go out once a week or so, as covid 19 would be lethal for my husband with his conditions, and who knows how bad any of us will get it? Answer..we dbn't. ..I am in much better health, so I do more rigorous workouts. SO, I worked out to a new You Tube video my husband found for me...hes so helpful, lol. It was exhausting, but I made it through! Also got my 10k steps in on my Fitbit...My husband took a nap and I read the paper and did a few other things. We made salad and tv dinners , not our usual sunday faire, but this is a pandemic situation, as I keep telling my husband! I had planned to do a bunch of things yesterday, like paying business bills, and personal bills, drawing, etc..but somehow the day got away from me. That will happen when you are stuck at home almost 24/7!! I m determined to be more productive today..Its another beautiful day out.",0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0
PP-R103,"Yesterday was basically just like any other day. I did my usual laundry, housework and took care of our 5 cats. My Husband was working out in the garage and decided to get my bicycle out of the back of the garage, where it had been stored for a few years. He cleaned it up and inflated the tires. I spent a lot of the day, between housework, going outside, in the warm summer weather, and riding my bike. At the end of the day, I took my bicycle into the house and found a place to store it, so that I could get to it easily.",0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
PP-R104,"I woke up earlier than usual yesterday and was thinking about the current pandemic. I lay in bed wishing the world would go back to ""normal,"" for a few minutes and then got up and started my day. I sat down at my desk and looked at work that I needed to complete for the day. I then logged into my school site to check assignments, because I am in graduate school for a Masters degree in English and my latest class started this week. I wrote my introduction post to share with my peers. I logged out and after that I worked for several hours on editing tasks and other data entry that I needed to get finished. I had a sandwich for lunch and decided to take a short nap. I slept for an hour and a half, longer than I wanted to, but that was probably because I woke up early. I went back to work in the afternoon and took a few breaks to have conversations with my adult son who lives with me with his wife and young daughter. In the evening, I decided to relax a bit and play a video game because that is relaxing to me. I did a bit more work after that and answered an email from a friend. I went to bed fairly early and read a book until I fell asleep.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
PP-R105,I wake up yesterday morning. I was feeling good about meeting rent last week. Everything seem to fall in place now. I ate breakfast. Did some work on the computer. I need to go pay my light bill. I took a shower. I got my money together to pay my light bill. I went out side to my car. It was such a beautiful day. Of course the bird had mess on my car. I went to the store and got some gas. I use the window washer wiper that was at the gas pump to wipe the bird mess off my car. I started on my way to pay my light bill. I cut on the air condition and enjoy the ride to pay my light bill.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PP-R106,"Yesterday, I decided to go out for a walk after I got the mail. I put on my face mask and went out. In the distance I saw an oder woman walking ahead of me. I had seen her before. She always wears a face mask because of the pandemic. She walks a few steps and looks around. Then she walks a bit mre and looks around. As I got close to her, I moved to the grass to the right. I also called out a ""Hello"" to not scare her. She stopped and looked at me. I stopped too and said ""Hello"" again. She said ""Hello"" and said that these days people were afraid to talk to each other. I was the first stranger who had greeted her in ages. I agreed tthat people were afraid of each other. I asked if she'd like to walk together but spaced out. She agreed. We walked and talked. I learned her name and that she lives in the next building. She has kids and grandkids but while they call eac other on the phone, they don;t get together for visits yet. She said they're afraid of giving her the virus by accident. So we had a nice chat and walk. We plan to do it again. Yesterday evening I was sitting on my third-floor balcony and saw her walking by again. I called out tp her and she looked up. She seemed happy to see me and we had a short chat. Then she walked off again. People need people even if we do have to wear face masks.",0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
