id,primaryGardenMood,journal,sliceTags,expectedSecondaryEmotions,acceptableAlternatives,clearlyWrongEmotions,preferNoSecondaryEmotion,primaryRedundantEmotions,expectedOutputMin,expectedOutputMax,thresholdedCandidates,modelOutput,strictHits,acceptableHits,clearlyWrongHits,primaryRedundantHits,exactExpectedMatch,acceptableMatch,correctAbstention,unwantedAbstention,rationale
"PP-EVAL-011","QUIET_BLOOM","The room feels emptier.","SHORT;PRIMARY_REDUNDANCY","","","","true","sadness","0","0","disappointment:0.39080492;sadness:0.37365785","disappointment","","","","","false","false","false","false",""
"PP-EVAL-012","HEALING_BLOOM","One small step forward.","SHORT;SUBTLE_IMPLICIT","joy;optimism","excitement","","false","","1","2","neutral:0.96772122","","","","","","false","false","false","true","Joy is clear, and optimism is also strongly expressed."
"PP-EVAL-013","FIRE_BLOOM","They ignored my message again.","SHORT","annoyance;disgust","","","false","anger","1","2","annoyance:0.33152136;disappointment:0.20671482;neutral:0.44941366","annoyance;disappointment","annoyance","annoyance","","","false","false","false","false","annoyance is clear, and disgust is also strongly expressed."
"PP-EVAL-014","WONDER_BLOOM","I saw Saturn's rings.","SHORT;PRIMARY_REDUNDANCY","admiration","joy","","false","curiosity","1","1","neutral:0.9260872","","","","","","false","false","false","true","I would prefer one secondary emotion; admiration is my first choice, but joy would also be acceptable.
"
"PP-EVAL-015","DRIFTING_BLOOM","Everything feels a little off.","SHORT;ABSTENTION_PREFERRED","","","","true","confusion","0","0","disappointment:0.40843812;neutral:0.27695227","disappointment","","","","","false","false","false","false",""
"PP-EVAL-016","PEACEFUL_BLOOM","I woke before everyone else and made coffee while the apartment was still quiet. Nothing special happened, but I liked having a slow start. I watched the light move across the kitchen floor.","LONG;PRIMARY_REDUNDANCY;ABSTENTION_PREFERRED","joy;amusement","","","false","","1","2","approval:0.38831779;love:0.23887806","love","","","","","false","false","false","false","Joy is clear, and amusement is also strongly expressed."
"PP-EVAL-017","SUNNY_BLOOM","The interview was harder than I expected, and I stumbled on one answer. Then the recruiter told me my portfolio stood out and invited me to the next round. I keep replaying both parts in my head.","LONG;MIXED_POSITIVE_NEGATIVE","excitement","","","false","joy","1","1","disappointment:0.30612597;neutral:0.53733134","disappointment","","","","","false","false","false","false","Excitement is strongly expressed."
"PP-EVAL-018","GENTLE_BLOOM","My roommate noticed I had skipped lunch and left a bowl of soup by my door. We have both been busy and barely talked this week. That little gesture stayed with me all afternoon.","LONG;SUBTLE_IMPLICIT","gratitude","","","false","caring","1","1","neutral:0.62984908","","","","","","false","false","false","true","Gratitude is strongly expressed."
"PP-EVAL-019","QUIET_BLOOM","I packed the last box from my old room today. I know moving is the right choice, but closing the door felt heavier than I expected. The new place is exciting and unfamiliar at the same time.","LONG;MIXED_POSITIVE_NEGATIVE","excitement;disappointment","fear","","false","sadness","1","2","excitement:0.64266121","excitement","excitement","excitement","","","false","true","false","false","I think this scenario is very typical and hard to deal with because it involves a complex mix of excitement and disappointment."
"PP-EVAL-020","HEALING_BLOOM","I apologized for how I spoke yesterday. The conversation was uncomfortable, but they listened and we agreed to try again. I still feel bad, although the distance between us seems smaller.","LONG;MIXED_POSITIVE_NEGATIVE","sadness;remorse","optimism","","false","","1","2","remorse:0.50267082;sadness:0.49570516","remorse","remorse","remorse","","","false","true","false","false","I think this scenario is very typical and hard to deal with because it involves a complex mix of sadness and remorese, also optimism is acceptable."
"PP-EVAL-021","FIRE_BLOOM","The group submitted our work without adding my name. I asked about it twice and nobody answered until the deadline passed. Now they are acting as if it was a harmless mistake.","LONG;PRIMARY_REDUNDANCY","disgust","","","false","anger","1","1","neutral:0.82399112","","","","","","false","false","false","true","Disgust is strongly expressed."
"PP-EVAL-022","WONDER_BLOOM","The museum had a room where every sound changed the lights on the walls. I stayed much longer than I planned because each corner behaved differently. I want to understand how they built it.","LONG;PRIMARY_REDUNDANCY","surprise","","","false","curiosity","1","1","curiosity:0.57311153","","","","","","false","false","false","true","Surprise is strongly expressed."
"PP-EVAL-023","DRIFTING_BLOOM","Three people gave me different advice about the same decision. Every option sounds sensible until I imagine choosing it. I made another list, but now I feel less certain than before.","LONG;PRIMARY_REDUNDANCY","","","","true","confusion","0","0","confusion:0.69801497","","","","","","true","true","true","false",""
"PP-EVAL-024","PEACEFUL_BLOOM","I walked the usual route after dinner and called my sister on the way home. We talked about groceries, work, and a show we both watch. It was an ordinary evening, and that was enough.","LONG;ABSTENTION_PREFERRED;PRIMARY_REDUNDANCY","amusement","caring","","false","","1","2","neutral:0.64817864","","","","","","false","false","false","true","I would prefer one secondary emotion; amusement is my first choice, but caring would also be acceptable."
"PP-EVAL-025","SUNNY_BLOOM","We finally launched the project after weeks of late nights. I am proud of the team and relieved that it works, but I will miss our daily calls. Tomorrow I get to sleep in.","LONG;MIXED_POSITIVE_NEGATIVE","admiration","","","false","joy","1","1","disappointment:0.43115658","disappointment","","","","","false","false","false","false","admiration is strongly expressed."
"PP-EVAL-026","GENTLE_BLOOM","I was embarrassed that I forgot her birthday, but she laughed and said my late card was still sweet.","MIXED_EMOTIONS;MIXED_POSITIVE_NEGATIVE","remorse","love;gratitude","","false","caring","1","1","amusement:0.42314911","amusement","","","","","false","false","false","false","I think this scenario is very typical and hard to deal with because it involves a complex mix of remorse, love, and gratitute."
"PP-EVAL-027","QUIET_BLOOM","I am happy for my friend, but hearing their news reminded me of what I lost.","MIXED_EMOTIONS;MIXED_POSITIVE_NEGATIVE;PRIMARY_REDUNDANCY","disappointment","admiration;joy","","false","caring","1","1","joy:0.5329892;sadness:0.39624837","joy","","joy","","","false","true","false","false","I think this scenario is very typical and hard to deal with because it involves a mix of disappointment, admiration and joy (these are different kinds of mood)"
"PP-EVAL-028","HEALING_BLOOM","The test result was better than last time, although I am scared the progress will not last.","MIXED_EMOTIONS;MIXED_POSITIVE_NEGATIVE","joy;fear","","","false","","1","2","fear:0.80960077","fear","fear","fear","","","false","true","false","false","I think this scenario is very typical and hard to deal with because it involves a complex mix of joy and fear."
"PP-EVAL-029","FIRE_BLOOM","I wanted to celebrate my promotion, then found out my closest teammate was laid off.","MIXED_EMOTIONS;MIXED_POSITIVE_NEGATIVE","joy;sadness","","","false","","1","2","disappointment:0.21893929;sadness:0.4272272","sadness","sadness","sadness","","","false","true","false","false","I think this scenario is very typical and hard to deal with because it involves a complex mix of joy and sadness (these are two opposite mood)"
"PP-EVAL-030","WONDER_BLOOM","The ending surprised me and I loved it, but I still cannot tell what the last scene meant.","MIXED_EMOTIONS;PRIMARY_REDUNDANCY","surprise;love","","","false","curiosity","1","2","love:0.57730538;surprise:0.82883406","surprise;love","surprise;love","surprise;love","","","true","true","false","false","surprise and love are strongly expressed."
"PP-EVAL-031","DRIFTING_BLOOM","Part of me wants to accept the offer, and part of me wants everything to stay the same.","MIXED_EMOTIONS;MIXED_POSITIVE_NEGATIVE;PRIMARY_REDUNDANCY","","","","true","confusion","0","0","neutral:0.70462203","","","","","","true","true","true","false",""
"PP-EVAL-032","PEACEFUL_BLOOM","The trip was beautiful, and I am also glad to be back in my own quiet room.","MIXED_EMOTIONS;PRIMARY_REDUNDANCY","joy;amusement","","","false","","1","2","admiration:0.72963959;joy:0.64386076","admiration;joy","joy","joy","","","false","false","false","false","Joy and amusement are strongly expressed."
"PP-EVAL-033","SUNNY_BLOOM","I won the contest, but seeing the runner-up cry made the moment feel strange.","MIXED_EMOTIONS;MIXED_POSITIVE_NEGATIVE","","confusion","","false","joy","0","1","","","","","","","true","true","false","false",""
"PP-EVAL-034","GENTLE_BLOOM","He brought flowers to apologize, and I appreciate the effort even though I am not ready to forgive him.","MIXED_EMOTIONS;MIXED_POSITIVE_NEGATIVE","","","","true","caring","0","0","admiration:0.53378409;remorse:0.47029993","admiration;remorse","","","","","false","false","false","false",""
"PP-EVAL-035","QUIET_BLOOM","Looking at old photos made me smile and then suddenly miss everyone.","MIXED_EMOTIONS;MIXED_POSITIVE_NEGATIVE;PRIMARY_REDUNDANCY","amusement;love","","","false","sadness","1","2","sadness:0.72561121","","","","","","false","false","false","true","I think this scenario is very typical and hard to deal with because it involves a complex mix of amusement, love, and sadness."
"PP-EVAL-036","HEALING_BLOOM","I cried after therapy, but for once it felt like something had loosened instead of broken.","MIXED_EMOTIONS;MIXED_POSITIVE_NEGATIVE","joy","","","false","","1","1","sadness:0.7679835","sadness","","","","","false","false","false","false","Joy is expressed."
"PP-EVAL-037","FIRE_BLOOM","I am furious they canceled, but honestly I was nervous about going anyway.","MIXED_EMOTIONS;MIXED_POSITIVE_NEGATIVE;PRIMARY_REDUNDANCY","disgust;fear","","","false","anger","1","2","fear:0.25026339","fear","fear","fear","","","false","true","false","false","I think this scenario is very typical and hard to deal with because it involves a complex mix of disgust and fear."
"PP-EVAL-038","WONDER_BLOOM","I cannot stop thinking about the question, even though not knowing the answer makes me uneasy.","MIXED_EMOTIONS;MIXED_POSITIVE_NEGATIVE;PRIMARY_REDUNDANCY","confusion","fear","","false","curiosity","1","1","","","","","","","false","false","false","true","confusion is strongly expressed, and fear is acceptable."
"PP-EVAL-039","DRIFTING_BLOOM","I feel relieved the decision is over and disappointed that it was not mine to make.","MIXED_EMOTIONS;MIXED_POSITIVE_NEGATIVE","disappointment","","confusion","false","","1","1","disappointment:0.77693564","disappointment","disappointment","disappointment","","","true","true","false","false","disappointment is obvious."
"PP-EVAL-040","PEACEFUL_BLOOM","The house is finally quiet, but I keep wondering whether I forgot something important.","MIXED_EMOTIONS;MIXED_POSITIVE_NEGATIVE","confusion","","","false","","1","1","surprise:0.79593158","surprise","","","","","false","false","false","false","Cnofusion is strongly expressed."
"PP-EVAL-041","SUNNY_BLOOM","My friends surprised me with dinner; I laughed all night and felt a little guilty they paid for everything.","MIXED_EMOTIONS;MIXED_POSITIVE_NEGATIVE;PRIMARY_REDUNDANCY","surprise;caring","amusement","","false","joy","1","2","amusement:0.48347598;surprise:0.16384432","amusement;surprise","surprise","amusement;surprise","","","false","true","false","false","I think this scenario is very typical and hard to deal with because it involves a complex mix of surprise, caring; amusement is acceptable."
"PP-EVAL-042","GENTLE_BLOOM","I was worried about him, then he called to say he was safe and thanked me for checking.","MIXED_EMOTIONS;MIXED_POSITIVE_NEGATIVE","joy","","gratitude","false","caring","1","1","caring:0.55961657;gratitude:0.40527231","gratitude","","","gratitude","","false","false","false","false","This scenario is misleading because it describes someone else feeling gratitude rather than the user experiencing gratitude."
"PP-EVAL-043","QUIET_BLOOM","I expected to feel only sad at graduation, but I am proud too.","MIXED_EMOTIONS;MIXED_POSITIVE_NEGATIVE;PRIMARY_REDUNDANCY","","admiration","","false","sadness","0","1","disappointment:0.230451","disappointment","","","","","false","false","false","false",""
"PP-EVAL-044","HEALING_BLOOM","Today was exhausting, yet finishing one task made tomorrow feel possible.","MIXED_EMOTIONS;MIXED_POSITIVE_NEGATIVE","optimism","","","false","","1","1","disappointment:0.52838778","disappointment","","","","","false","false","false","false","optimism is strongly expressed."
"PP-EVAL-045","FIRE_BLOOM","Their apology sounded sincere, which somehow made me both calmer and more upset.","MIXED_EMOTIONS;MIXED_POSITIVE_NEGATIVE","disappointment;sadness","","anger","false","","1","1","disappointment:0.18150634;sadness:0.51432192","sadness","sadness","sadness","","","false","true","false","false","disappointment and sadness is expressed."
"PP-EVAL-046","WONDER_BLOOM","","NEUTRAL_EVERYDAY;EMPTY_JOURNAL;ABSTENTION_PREFERRED","","","","true","","0","0","","","","","","","true","true","true","false",""
"PP-EVAL-047","DRIFTING_BLOOM","","NEUTRAL_EVERYDAY;EMPTY_JOURNAL;ABSTENTION_PREFERRED","","","","true","","0","0","","","","","","","true","true","true","false",""
"PP-EVAL-048","PEACEFUL_BLOOM","","NEUTRAL_EVERYDAY;EMPTY_JOURNAL;ABSTENTION_PREFERRED","","","","true","","0","0","","","","","","","true","true","true","false",""
"PP-EVAL-049","SUNNY_BLOOM","","NEUTRAL_EVERYDAY;EMPTY_JOURNAL;ABSTENTION_PREFERRED","","","","true","","0","0","","","","","","","true","true","true","false",""
"PP-EVAL-050","GENTLE_BLOOM","","NEUTRAL_EVERYDAY;EMPTY_JOURNAL;ABSTENTION_PREFERRED","","","","true","","0","0","","","","","","","true","true","true","false",""
"PP-EVAL-051","QUIET_BLOOM","I took the bus to campus and arrived at nine.","NEUTRAL_EVERYDAY;ABSTENTION_PREFERRED","","","","true","sadness","0","0","neutral:0.86189866","","","","","","true","true","true","false",""
"PP-EVAL-052","HEALING_BLOOM","Washed the sheets and put them back on the bed.","NEUTRAL_EVERYDAY;ABSTENTION_PREFERRED","amusement","","","false","","1","1","neutral:0.94776434","","","","","","false","false","false","true","amusement maybe expressed."
"PP-EVAL-053","FIRE_BLOOM","The meeting moved from two o'clock to three.","NEUTRAL_EVERYDAY;ABSTENTION_PREFERRED","","","anger","true","","0","0","neutral:0.88772154","","","","","","true","true","true","false","I can't find any emotion described, and i think it really depends on people."
"PP-EVAL-054","WONDER_BLOOM","I bought rice, tomatoes, and soap after work.","NEUTRAL_EVERYDAY;ABSTENTION_PREFERRED","amusement","","curiosity","false","","1","1","neutral:0.94560993","","","","","","false","false","false","true","amusement may be expressed."
"PP-EVAL-055","DRIFTING_BLOOM","The package is scheduled to arrive on Thursday.","NEUTRAL_EVERYDAY;ABSTENTION_PREFERRED","","","","true","","0","0","neutral:0.90874386","","","","","","true","true","true","false",""
"PP-EVAL-056","PEACEFUL_BLOOM","I watered the plants and opened the window.","NEUTRAL_EVERYDAY;ABSTENTION_PREFERRED;PRIMARY_REDUNDANCY","","","","true","","0","0","neutral:0.88169163","","","","","","true","true","true","false",""
"PP-EVAL-057","SUNNY_BLOOM","Lunch was noodles and an apple.","NEUTRAL_EVERYDAY;ABSTENTION_PREFERRED","","","","true","","0","0","neutral:0.91969824","","","","","","true","true","true","false",""
"PP-EVAL-058","GENTLE_BLOOM","I replied to three emails before noon.","NEUTRAL_EVERYDAY;ABSTENTION_PREFERRED","","","","true","","0","0","neutral:0.92708158","","","","","","true","true","true","false",""
"PP-EVAL-059","QUIET_BLOOM","The library closed at its usual time.","NEUTRAL_EVERYDAY;ABSTENTION_PREFERRED","surprise;disappointment","","","false","sadness","1","2","neutral:0.87346458","","","","","","false","false","false","true","surprise and disappointment are strongly expressed."
"PP-EVAL-060","HEALING_BLOOM","I charged my phone and set an alarm.","NEUTRAL_EVERYDAY;ABSTENTION_PREFERRED","","","","true","","0","0","neutral:0.82139677","","","","","","true","true","true","false",""
"PP-EVAL-061","FIRE_BLOOM","I am not angry; I just need them to stop interrupting me.","NEGATION;PRIMARY_REDUNDANCY","disgust","","anger","false","","1","1","annoyance:0.41467959","annoyance","","","","","false","false","false","false","disgust can be expressed."
"PP-EVAL-062","WONDER_BLOOM","It was not surprising, but I still want to know why it happened.","NEGATION;PRIMARY_REDUNDANCY","","","surprise","true","curiosity","0","0","curiosity:0.85042489","","","","","","true","true","true","false",""
"PP-EVAL-063","DRIFTING_BLOOM","I do not regret saying no, even if I keep thinking about it.","NEGATION;SUBTLE_IMPLICIT","optimism","","","false","","1","1","remorse:0.50797421","remorse","","","","","false","false","false","false","optimism is expressed."
"PP-EVAL-064","PEACEFUL_BLOOM","I was not bored; I was enjoying having nothing to do.","NEGATION;PRIMARY_REDUNDANCY;ABSTENTION_PREFERRED","amusement","","","false","","1","1","joy:0.8884598","joy","","","","","false","false","false","false","amusement is expressed"
"PP-EVAL-065","SUNNY_BLOOM","I cannot say I hated the party; I actually stayed until the end.","NEGATION;SUBTLE_IMPLICIT","amusement","","","false","joy","1","1","annoyance:0.22113524;disapproval:0.40863651","annoyance","","","","","false","false","false","false","amusement is strongly expressed."
"PP-EVAL-066","GENTLE_BLOOM","She did not ask for praise; she quietly fixed the problem for everyone.","NEGATION;SUBTLE_IMPLICIT","admiration;gratitude","","","false","caring","1","2","approval:0.34021589;neutral:0.62062937","","","","","","false","false","false","true","admiration and gratitude are strongly expressed."
"PP-EVAL-067","QUIET_BLOOM","I am not disappointed in her, only in how the day turned out.","NEGATION;PRIMARY_REDUNDANCY","disappointment","","","false","sadness","1","1","approval:0.41814452;neutral:0.30165797","","","","","","false","false","false","true","This scenario has some misleading info, but the overall mood should be disappointment and sadness."
"PP-EVAL-068","HEALING_BLOOM","The pain is not gone, but it no longer decides my whole day.","NEGATION;SUBTLE_IMPLICIT","optimism","","","false","","1","1","neutral:0.4817256","","","","","","false","false","false","true","optimism is expressed."
"PP-EVAL-069","FIRE_BLOOM","I do not dislike the idea; I dislike being rushed into it.","NEGATION;SUBTLE_IMPLICIT","disgust;annoyance","","","false","","1","2","disapproval:0.79176331","","","","","","false","false","false","true","disgust is clear, and annoyance is also expressed."
"PP-EVAL-070","WONDER_BLOOM","I was not confused by the answer; it just opened three more questions.","NEGATION;PRIMARY_REDUNDANCY","","","confusion","true","curiosity","0","0","confusion:0.62871253;neutral:0.39047438","confusion","","","confusion","","false","false","false","false",""
"PP-EVAL-071","DRIFTING_BLOOM","idk why but today felt kinda weird tbh","SLANG_TYPOS;ABSTENTION_PREFERRED","","","","true","confusion","0","0","annoyance:0.25355002;confusion:0.40556312","annoyance","","","","","false","false","false","false",""
"PP-EVAL-072","PEACEFUL_BLOOM","just vibing at home, no drama lol","SLANG_TYPOS;PRIMARY_REDUNDANCY;ABSTENTION_PREFERRED","","","","true","","0","0","amusement:0.88966012","amusement","","","","","false","false","false","false",""
"PP-EVAL-073","SUNNY_BLOOM","we actualy did it omg best day","SLANG_TYPOS;PRIMARY_REDUNDANCY","excitement","","","false","joy","1","1","admiration:0.84218031","admiration","","","","","false","false","false","false","Excitement is strongly expressed."
"PP-EVAL-074","GENTLE_BLOOM","my bro came thru when i needed him fr","SLANG_TYPOS","gratitude","joy","","false","caring","1","1","neutral:0.94402242","","","","","","false","false","false","true","Gratitude is strongly expressed and joy can be acceptable."
"PP-EVAL-075","QUIET_BLOOM","lowkey miss how things used to be","SLANG_TYPOS;PRIMARY_REDUNDANCY","disappointment","","","false","sadness","1","1","neutral:0.73062724;sadness:0.25279912","","","","","","false","false","false","true","disappointment is obvious."
"PP-EVAL-076","HEALING_BLOOM","was a rough day but im gettin there","SLANG_TYPOS;SUBTLE_IMPLICIT","optimism","disappointment","","false","","1","1","disappointment:0.21951145;sadness:0.63118774","sadness","","","","","false","false","false","false","I think this scenario is very typical and hard to deal with because it involves a complex mix of optimism and disappointment."
"PP-EVAL-077","FIRE_BLOOM","nah that msg was sooo uncalled for","SLANG_TYPOS;PRIMARY_REDUNDANCY","","","","true","anger","0","0","neutral:0.60905266","","","","","","true","true","true","false",""
"PP-EVAL-078","WONDER_BLOOM","wait how does this even work tho","SLANG_TYPOS;PRIMARY_REDUNDANCY","confusion","","","false","curiosity","1","1","confusion:0.37377134;curiosity:0.48856658;neutral:0.30976176","confusion","confusion","confusion","","","true","true","false","false","confusion is strongly expressed."
"PP-EVAL-079","DRIFTING_BLOOM","brain said yes then no then maybe 💀","SLANG_TYPOS;MIXED_EMOTIONS","","annoyance","","false","confusion","0","1","approval:0.32480764;neutral:0.3174676","","","","","","true","true","false","false",""
"PP-EVAL-080","PEACEFUL_BLOOM","made tea n watched rain, pretty chill","SLANG_TYPOS;PRIMARY_REDUNDANCY;ABSTENTION_PREFERRED","amusement","","","false","","1","1","admiration:0.65200365","admiration","","","","","false","false","false","false","amusement is strongly expressed."
"PP-EVAL-081","SUNNY_BLOOM","They said yes!!! 🎉🌟","EMOJI_HEAVY;PRIMARY_REDUNDANCY","","excitement","","false","joy","0","1","approval:0.56181377;neutral:0.53917027","","","","","","true","true","false","false",""
"PP-EVAL-082","GENTLE_BLOOM","She brought me soup 🥹💗","EMOJI_HEAVY","gratitude","","","false","caring","1","1","approval:0.25724766;neutral:0.76009864","","","","","","false","false","false","true","Gratitude is strongly expressed."
"PP-EVAL-083","QUIET_BLOOM","Found their old note today 😭","EMOJI_HEAVY;PRIMARY_REDUNDANCY","","","","true","sadness","0","0","neutral:0.61268181","","","","","","true","true","true","false",""
"PP-EVAL-084","HEALING_BLOOM","First walk outside in weeks 🌱🙂","EMOJI_HEAVY;SUBTLE_IMPLICIT","","amusement","","false","","0","1","","","","","","","true","true","false","false","amusement can be expressed."
"PP-EVAL-085","FIRE_BLOOM","They did it AGAIN 😤🙄","EMOJI_HEAVY;PRIMARY_REDUNDANCY","","","","true","anger","0","0","neutral:0.46583363","","","","","","true","true","true","false",""
"PP-EVAL-086","WONDER_BLOOM","This tiny mushroom glows?? 🍄✨🤯","EMOJI_HEAVY;PRIMARY_REDUNDANCY","surprise","","","false","curiosity","1","1","curiosity:0.70921338","","","","","","false","false","false","true","surprise is strongly expressed."
"PP-EVAL-087","DRIFTING_BLOOM","New plan? old plan? 😵‍💫🤷","EMOJI_HEAVY;PRIMARY_REDUNDANCY","","","","true","confusion","0","0","confusion:0.56140029;curiosity:0.58865684","curiosity","","","","","false","false","false","false",""
"PP-EVAL-088","PEACEFUL_BLOOM","🌧️☕📖","EMOJI_HEAVY;PRIMARY_REDUNDANCY;ABSTENTION_PREFERRED","","","","true","","0","0","approval:0.37054762;neutral:0.53438056","","","","","","true","true","true","false",""
"PP-EVAL-089","SUNNY_BLOOM","I kept checking the message because the good news did not quite feel real yet.","SUBTLE_IMPLICIT","excitement","","","false","joy","1","1","","","","","","","false","false","false","true","Excitement is strongly expressed."
"PP-EVAL-090","GENTLE_BLOOM","He remembered the tiny detail I mentioned months ago.","SUBTLE_IMPLICIT","surprise;gratitude","joy","","false","caring","1","2","neutral:0.84693849","","","","","","false","false","false","true","Surprise and gratitude are strongly expressed; joy is also acceptable."
"PP-EVAL-091","QUIET_BLOOM","I set two plates before remembering I only needed one.","SUBTLE_IMPLICIT;PRIMARY_REDUNDANCY","","remorse","","false","sadness","0","1","neutral:0.67673814","","","","","","true","true","false","false","remorse can be acceptable."
"PP-EVAL-092","HEALING_BLOOM","I noticed I went the whole morning without rehearsing that old conversation.","SUBTLE_IMPLICIT;ABSTENTION_PREFERRED","","","","true","","0","0","","","","","","","true","true","true","false",""
"PP-EVAL-093","FIRE_BLOOM","I smiled through the meeting and wrote down exactly what they said.","SUBTLE_IMPLICIT;ABSTENTION_PREFERRED","joy","","anger","false","","1","1","approval:0.24305421;joy:0.72770506","joy","joy","joy","","","true","true","false","false","Joy can be expressed."
"PP-EVAL-094","WONDER_BLOOM","The more I read, the larger the question seemed to become.","SUBTLE_IMPLICIT;PRIMARY_REDUNDANCY","confusion","","","false","curiosity","1","1","neutral:0.68758792","","","","","","false","false","false","true","confusion is strongly expressed."
"PP-EVAL-095","DRIFTING_BLOOM","I opened the application form three times and closed it each time.","SUBTLE_IMPLICIT;PRIMARY_REDUNDANCY","","annoyance;fear","confusion","false","","0","1","neutral:0.92376232","","","","","","true","true","false","false","annoyance and fear are acceptable"
"PP-EVAL-096","PEACEFUL_BLOOM","For once, the silence did not need to be filled.","SUBTLE_IMPLICIT;PRIMARY_REDUNDANCY;ABSTENTION_PREFERRED","","","","true","","0","0","neutral:0.69244564","","","","","","true","true","true","false",""
"PP-EVAL-097","SUNNY_BLOOM","Everyone else cheered, and I realized I had been holding my breath.","SUBTLE_IMPLICIT;ABSTENTION_PREFERRED","","","","true","","0","0","","","","","","","true","true","true","false",""
"PP-EVAL-098","GENTLE_BLOOM","She moved her umbrella so there was room for me underneath.","SUBTLE_IMPLICIT","gratitude","","","false","caring","1","1","neutral:0.96466529","","","","","","false","false","false","true","gratitude is strongly expressed."
"PP-EVAL-099","QUIET_BLOOM","I almost sent the photo to them before remembering we do not talk anymore.","SUBTLE_IMPLICIT;PRIMARY_REDUNDANCY","disappointment","","","false","sadness","1","1","neutral:0.5476625","","","","","","false","false","false","true","disappointment is obvious."
"PP-EVAL-100","HEALING_BLOOM","I left the unopened letter on the table and went outside instead.","SUBTLE_IMPLICIT;ABSTENTION_PREFERRED","","","","true","","0","0","neutral:0.93666995","","","","","","true","true","true","false",""
