"id","datasetVersion","sourceType","primaryGardenMood","journal","sliceTags","expectedSecondaryEmotions","acceptableAlternatives","clearlyWrongEmotions","preferNoSecondaryEmotion","primaryRedundantEmotions","expectedOutputMin","expectedOutputMax","rationale"
"PP-EVAL-021","v1","MANUALLY_AUTHORED","FIRE_BLOOM","The group submitted our work without adding my name. I asked about it twice and nobody answered until the deadline passed. Now they are acting as if it was a harmless mistake.","[""LONG"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-022","v1","MANUALLY_AUTHORED","WONDER_BLOOM","The museum had a room where every sound changed the lights on the walls. I stayed much longer than I planned because each corner behaved differently. I want to understand how they built it.","[""LONG"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-023","v1","MANUALLY_AUTHORED","DRIFTING_BLOOM","Three people gave me different advice about the same decision. Every option sounds sensible until I imagine choosing it. I made another list, but now I feel less certain than before.","[""LONG"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-024","v1","MANUALLY_AUTHORED","PEACEFUL_BLOOM","I walked the usual route after dinner and called my sister on the way home. We talked about groceries, work, and a show we both watch. It was an ordinary evening, and that was enough.","[""LONG"",""ABSTENTION_PREFERRED"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-025","v1","MANUALLY_AUTHORED","SUNNY_BLOOM","We finally launched the project after weeks of late nights. I am proud of the team and relieved that it works, but I will miss our daily calls. Tomorrow I get to sleep in.","[""LONG"",""MIXED_POSITIVE_NEGATIVE""]","","","","","","","",""
"PP-EVAL-026","v1","MANUALLY_AUTHORED","GENTLE_BLOOM","I was embarrassed that I forgot her birthday, but she laughed and said my late card was still sweet.","[""MIXED_EMOTIONS"",""MIXED_POSITIVE_NEGATIVE""]","","","","","","","",""
"PP-EVAL-027","v1","MANUALLY_AUTHORED","QUIET_BLOOM","I am happy for my friend, but hearing their news reminded me of what I lost.","[""MIXED_EMOTIONS"",""MIXED_POSITIVE_NEGATIVE"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-028","v1","MANUALLY_AUTHORED","HEALING_BLOOM","The test result was better than last time, although I am scared the progress will not last.","[""MIXED_EMOTIONS"",""MIXED_POSITIVE_NEGATIVE""]","","","","","","","",""
"PP-EVAL-029","v1","MANUALLY_AUTHORED","FIRE_BLOOM","I wanted to celebrate my promotion, then found out my closest teammate was laid off.","[""MIXED_EMOTIONS"",""MIXED_POSITIVE_NEGATIVE""]","","","","","","","",""
"PP-EVAL-030","v1","MANUALLY_AUTHORED","WONDER_BLOOM","The ending surprised me and I loved it, but I still cannot tell what the last scene meant.","[""MIXED_EMOTIONS"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-031","v1","MANUALLY_AUTHORED","DRIFTING_BLOOM","Part of me wants to accept the offer, and part of me wants everything to stay the same.","[""MIXED_EMOTIONS"",""MIXED_POSITIVE_NEGATIVE"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-032","v1","MANUALLY_AUTHORED","PEACEFUL_BLOOM","The trip was beautiful, and I am also glad to be back in my own quiet room.","[""MIXED_EMOTIONS"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-033","v1","MANUALLY_AUTHORED","SUNNY_BLOOM","I won the contest, but seeing the runner-up cry made the moment feel strange.","[""MIXED_EMOTIONS"",""MIXED_POSITIVE_NEGATIVE""]","","","","","","","",""
"PP-EVAL-034","v1","MANUALLY_AUTHORED","GENTLE_BLOOM","He brought flowers to apologize, and I appreciate the effort even though I am not ready to forgive him.","[""MIXED_EMOTIONS"",""MIXED_POSITIVE_NEGATIVE""]","","","","","","","",""
"PP-EVAL-035","v1","MANUALLY_AUTHORED","QUIET_BLOOM","Looking at old photos made me smile and then suddenly miss everyone.","[""MIXED_EMOTIONS"",""MIXED_POSITIVE_NEGATIVE"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-036","v1","MANUALLY_AUTHORED","HEALING_BLOOM","I cried after therapy, but for once it felt like something had loosened instead of broken.","[""MIXED_EMOTIONS"",""MIXED_POSITIVE_NEGATIVE""]","","","","","","","",""
"PP-EVAL-037","v1","MANUALLY_AUTHORED","FIRE_BLOOM","I am furious they canceled, but honestly I was nervous about going anyway.","[""MIXED_EMOTIONS"",""MIXED_POSITIVE_NEGATIVE"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-038","v1","MANUALLY_AUTHORED","WONDER_BLOOM","I cannot stop thinking about the question, even though not knowing the answer makes me uneasy.","[""MIXED_EMOTIONS"",""MIXED_POSITIVE_NEGATIVE"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-039","v1","MANUALLY_AUTHORED","DRIFTING_BLOOM","I feel relieved the decision is over and disappointed that it was not mine to make.","[""MIXED_EMOTIONS"",""MIXED_POSITIVE_NEGATIVE""]","","","","","","","",""
"PP-EVAL-040","v1","MANUALLY_AUTHORED","PEACEFUL_BLOOM","The house is finally quiet, but I keep wondering whether I forgot something important.","[""MIXED_EMOTIONS"",""MIXED_POSITIVE_NEGATIVE""]","","","","","","","",""
"PP-EVAL-041","v1","MANUALLY_AUTHORED","SUNNY_BLOOM","My friends surprised me with dinner; I laughed all night and felt a little guilty they paid for everything.","[""MIXED_EMOTIONS"",""MIXED_POSITIVE_NEGATIVE"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-042","v1","MANUALLY_AUTHORED","GENTLE_BLOOM","I was worried about him, then he called to say he was safe and thanked me for checking.","[""MIXED_EMOTIONS"",""MIXED_POSITIVE_NEGATIVE""]","","","","","","","",""
"PP-EVAL-043","v1","MANUALLY_AUTHORED","QUIET_BLOOM","I expected to feel only sad at graduation, but I am proud too.","[""MIXED_EMOTIONS"",""MIXED_POSITIVE_NEGATIVE"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-044","v1","MANUALLY_AUTHORED","HEALING_BLOOM","Today was exhausting, yet finishing one task made tomorrow feel possible.","[""MIXED_EMOTIONS"",""MIXED_POSITIVE_NEGATIVE""]","","","","","","","",""
"PP-EVAL-045","v1","MANUALLY_AUTHORED","FIRE_BLOOM","Their apology sounded sincere, which somehow made me both calmer and more upset.","[""MIXED_EMOTIONS"",""MIXED_POSITIVE_NEGATIVE""]","","","","","","","",""
"PP-EVAL-046","v1","MANUALLY_AUTHORED","WONDER_BLOOM","","[""NEUTRAL_EVERYDAY"",""EMPTY_JOURNAL"",""ABSTENTION_PREFERRED""]","","","","","","","",""
"PP-EVAL-047","v1","MANUALLY_AUTHORED","DRIFTING_BLOOM"," ","[""NEUTRAL_EVERYDAY"",""EMPTY_JOURNAL"",""ABSTENTION_PREFERRED""]","","","","","","","",""
"PP-EVAL-048","v1","MANUALLY_AUTHORED","PEACEFUL_BLOOM","","[""NEUTRAL_EVERYDAY"",""EMPTY_JOURNAL"",""ABSTENTION_PREFERRED""]","","","","","","","",""
"PP-EVAL-049","v1","MANUALLY_AUTHORED","SUNNY_BLOOM","   ","[""NEUTRAL_EVERYDAY"",""EMPTY_JOURNAL"",""ABSTENTION_PREFERRED""]","","","","","","","",""
"PP-EVAL-050","v1","MANUALLY_AUTHORED","GENTLE_BLOOM","","[""NEUTRAL_EVERYDAY"",""EMPTY_JOURNAL"",""ABSTENTION_PREFERRED""]","","","","","","","",""
"PP-EVAL-051","v1","MANUALLY_AUTHORED","QUIET_BLOOM","I took the bus to campus and arrived at nine.","[""NEUTRAL_EVERYDAY"",""ABSTENTION_PREFERRED""]","","","","","","","",""
"PP-EVAL-052","v1","MANUALLY_AUTHORED","HEALING_BLOOM","Washed the sheets and put them back on the bed.","[""NEUTRAL_EVERYDAY"",""ABSTENTION_PREFERRED""]","","","","","","","",""
"PP-EVAL-053","v1","MANUALLY_AUTHORED","FIRE_BLOOM","The meeting moved from two o'clock to three.","[""NEUTRAL_EVERYDAY"",""ABSTENTION_PREFERRED""]","","","","","","","",""
"PP-EVAL-054","v1","MANUALLY_AUTHORED","WONDER_BLOOM","I bought rice, tomatoes, and soap after work.","[""NEUTRAL_EVERYDAY"",""ABSTENTION_PREFERRED""]","","","","","","","",""
"PP-EVAL-055","v1","MANUALLY_AUTHORED","DRIFTING_BLOOM","The package is scheduled to arrive on Thursday.","[""NEUTRAL_EVERYDAY"",""ABSTENTION_PREFERRED""]","","","","","","","",""
"PP-EVAL-056","v1","MANUALLY_AUTHORED","PEACEFUL_BLOOM","I watered the plants and opened the window.","[""NEUTRAL_EVERYDAY"",""ABSTENTION_PREFERRED"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-057","v1","MANUALLY_AUTHORED","SUNNY_BLOOM","Lunch was noodles and an apple.","[""NEUTRAL_EVERYDAY"",""ABSTENTION_PREFERRED""]","","","","","","","",""
"PP-EVAL-058","v1","MANUALLY_AUTHORED","GENTLE_BLOOM","I replied to three emails before noon.","[""NEUTRAL_EVERYDAY"",""ABSTENTION_PREFERRED""]","","","","","","","",""
"PP-EVAL-059","v1","MANUALLY_AUTHORED","QUIET_BLOOM","The library closed at its usual time.","[""NEUTRAL_EVERYDAY"",""ABSTENTION_PREFERRED""]","","","","","","","",""
"PP-EVAL-060","v1","MANUALLY_AUTHORED","HEALING_BLOOM","I charged my phone and set an alarm.","[""NEUTRAL_EVERYDAY"",""ABSTENTION_PREFERRED""]","","","","","","","",""
"PP-EVAL-061","v1","MANUALLY_AUTHORED","FIRE_BLOOM","I am not angry; I just need them to stop interrupting me.","[""NEGATION"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-062","v1","MANUALLY_AUTHORED","WONDER_BLOOM","It was not surprising, but I still want to know why it happened.","[""NEGATION"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-063","v1","MANUALLY_AUTHORED","DRIFTING_BLOOM","I do not regret saying no, even if I keep thinking about it.","[""NEGATION"",""SUBTLE_IMPLICIT""]","","","","","","","",""
"PP-EVAL-064","v1","MANUALLY_AUTHORED","PEACEFUL_BLOOM","I was not bored; I was enjoying having nothing to do.","[""NEGATION"",""PRIMARY_REDUNDANCY"",""ABSTENTION_PREFERRED""]","","","","","","","",""
"PP-EVAL-065","v1","MANUALLY_AUTHORED","SUNNY_BLOOM","I cannot say I hated the party; I actually stayed until the end.","[""NEGATION"",""SUBTLE_IMPLICIT""]","","","","","","","",""
"PP-EVAL-066","v1","MANUALLY_AUTHORED","GENTLE_BLOOM","She did not ask for praise; she quietly fixed the problem for everyone.","[""NEGATION"",""SUBTLE_IMPLICIT""]","","","","","","","",""
"PP-EVAL-067","v1","MANUALLY_AUTHORED","QUIET_BLOOM","I am not disappointed in her, only in how the day turned out.","[""NEGATION"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-068","v1","MANUALLY_AUTHORED","HEALING_BLOOM","The pain is not gone, but it no longer decides my whole day.","[""NEGATION"",""SUBTLE_IMPLICIT""]","","","","","","","",""
"PP-EVAL-069","v1","MANUALLY_AUTHORED","FIRE_BLOOM","I do not dislike the idea; I dislike being rushed into it.","[""NEGATION"",""SUBTLE_IMPLICIT""]","","","","","","","",""
"PP-EVAL-070","v1","MANUALLY_AUTHORED","WONDER_BLOOM","I was not confused by the answer; it just opened three more questions.","[""NEGATION"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-071","v1","MANUALLY_AUTHORED","DRIFTING_BLOOM","idk why but today felt kinda weird tbh","[""SLANG_TYPOS"",""ABSTENTION_PREFERRED""]","","","","","","","",""
"PP-EVAL-072","v1","MANUALLY_AUTHORED","PEACEFUL_BLOOM","just vibing at home, no drama lol","[""SLANG_TYPOS"",""PRIMARY_REDUNDANCY"",""ABSTENTION_PREFERRED""]","","","","","","","",""
"PP-EVAL-073","v1","MANUALLY_AUTHORED","SUNNY_BLOOM","we actualy did it omg best day","[""SLANG_TYPOS"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-074","v1","MANUALLY_AUTHORED","GENTLE_BLOOM","my bro came thru when i needed him fr","[""SLANG_TYPOS""]","","","","","","","",""
"PP-EVAL-075","v1","MANUALLY_AUTHORED","QUIET_BLOOM","lowkey miss how things used to be","[""SLANG_TYPOS"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-076","v1","MANUALLY_AUTHORED","HEALING_BLOOM","was a rough day but im gettin there","[""SLANG_TYPOS"",""SUBTLE_IMPLICIT""]","","","","","","","",""
"PP-EVAL-077","v1","MANUALLY_AUTHORED","FIRE_BLOOM","nah that msg was sooo uncalled for","[""SLANG_TYPOS"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-078","v1","MANUALLY_AUTHORED","WONDER_BLOOM","wait how does this even work tho","[""SLANG_TYPOS"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-079","v1","MANUALLY_AUTHORED","DRIFTING_BLOOM","brain said yes then no then maybe 💀","[""SLANG_TYPOS"",""MIXED_EMOTIONS""]","","","","","","","",""
"PP-EVAL-080","v1","MANUALLY_AUTHORED","PEACEFUL_BLOOM","made tea n watched rain, pretty chill","[""SLANG_TYPOS"",""PRIMARY_REDUNDANCY"",""ABSTENTION_PREFERRED""]","","","","","","","",""
"PP-EVAL-081","v1","MANUALLY_AUTHORED","SUNNY_BLOOM","They said yes!!! 🎉🌟","[""EMOJI_HEAVY"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-082","v1","MANUALLY_AUTHORED","GENTLE_BLOOM","She brought me soup 🥹💗","[""EMOJI_HEAVY""]","","","","","","","",""
"PP-EVAL-083","v1","MANUALLY_AUTHORED","QUIET_BLOOM","Found their old note today 😭","[""EMOJI_HEAVY"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-084","v1","MANUALLY_AUTHORED","HEALING_BLOOM","First walk outside in weeks 🌱🙂","[""EMOJI_HEAVY"",""SUBTLE_IMPLICIT""]","","","","","","","",""
"PP-EVAL-085","v1","MANUALLY_AUTHORED","FIRE_BLOOM","They did it AGAIN 😤🙄","[""EMOJI_HEAVY"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-086","v1","MANUALLY_AUTHORED","WONDER_BLOOM","This tiny mushroom glows?? 🍄✨🤯","[""EMOJI_HEAVY"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-087","v1","MANUALLY_AUTHORED","DRIFTING_BLOOM","New plan? old plan? 😵‍💫🤷","[""EMOJI_HEAVY"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-088","v1","MANUALLY_AUTHORED","PEACEFUL_BLOOM","🌧️☕📖","[""EMOJI_HEAVY"",""PRIMARY_REDUNDANCY"",""ABSTENTION_PREFERRED""]","","","","","","","",""
"PP-EVAL-089","v1","MANUALLY_AUTHORED","SUNNY_BLOOM","I kept checking the message because the good news did not quite feel real yet.","[""SUBTLE_IMPLICIT""]","","","","","","","",""
"PP-EVAL-090","v1","MANUALLY_AUTHORED","GENTLE_BLOOM","He remembered the tiny detail I mentioned months ago.","[""SUBTLE_IMPLICIT""]","","","","","","","",""
"PP-EVAL-091","v1","MANUALLY_AUTHORED","QUIET_BLOOM","I set two plates before remembering I only needed one.","[""SUBTLE_IMPLICIT"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-092","v1","MANUALLY_AUTHORED","HEALING_BLOOM","I noticed I went the whole morning without rehearsing that old conversation.","[""SUBTLE_IMPLICIT"",""ABSTENTION_PREFERRED""]","","","","","","","",""
"PP-EVAL-093","v1","MANUALLY_AUTHORED","FIRE_BLOOM","I smiled through the meeting and wrote down exactly what they said.","[""SUBTLE_IMPLICIT"",""ABSTENTION_PREFERRED""]","","","","","","","",""
"PP-EVAL-094","v1","MANUALLY_AUTHORED","WONDER_BLOOM","The more I read, the larger the question seemed to become.","[""SUBTLE_IMPLICIT"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-095","v1","MANUALLY_AUTHORED","DRIFTING_BLOOM","I opened the application form three times and closed it each time.","[""SUBTLE_IMPLICIT"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-096","v1","MANUALLY_AUTHORED","PEACEFUL_BLOOM","For once, the silence did not need to be filled.","[""SUBTLE_IMPLICIT"",""PRIMARY_REDUNDANCY"",""ABSTENTION_PREFERRED""]","","","","","","","",""
"PP-EVAL-097","v1","MANUALLY_AUTHORED","SUNNY_BLOOM","Everyone else cheered, and I realized I had been holding my breath.","[""SUBTLE_IMPLICIT"",""ABSTENTION_PREFERRED""]","","","","","","","",""
"PP-EVAL-098","v1","MANUALLY_AUTHORED","GENTLE_BLOOM","She moved her umbrella so there was room for me underneath.","[""SUBTLE_IMPLICIT""]","","","","","","","",""
"PP-EVAL-099","v1","MANUALLY_AUTHORED","QUIET_BLOOM","I almost sent the photo to them before remembering we do not talk anymore.","[""SUBTLE_IMPLICIT"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-100","v1","MANUALLY_AUTHORED","HEALING_BLOOM","I left the unopened letter on the table and went outside instead.","[""SUBTLE_IMPLICIT"",""ABSTENTION_PREFERRED""]","","","","","","","",""
