label,outcome,truth,tfidf_prediction,minilm_prediction,tfidf_score,minilm_score,text
amusement,regressed_in_minilm,1,1,0,0.860744,0.876662,It’s funny because this is the summary of most discussion posts on this sub
amusement,regressed_in_minilm,1,1,0,0.508603,0.627236,Hunting would at least be more rewarding and fun. Every time I wanna meal prep in RDO I just horseback ride and lock-on to deer.
anger,fixed_by_minilm,0,1,0,0.865595,0.638403,Borrowed time is stupid
anger,fixed_by_minilm,0,1,0,0.615566,0.743746,Fucking love [NAME]. [NAME] best couple don't @ me
anger,fixed_by_minilm,0,1,0,0.668412,0.784271,Must be why I'm alive. That sucks.
anger,fixed_by_minilm,0,1,0,0.622958,0.684399,That was an incredibly dumb thing to do. [NAME] is an idiot for trusting her.
anger,fixed_by_minilm,0,1,0,0.856216,0.288495,"Hate to be that guy, but that's not DDR, that's Pump It Up, the Korean DDR rip-off."
anger,fixed_by_minilm,0,1,0,0.641063,0.647187,Pretty shit tbh with you
anger,fixed_by_minilm,1,0,1,0.170715,0.981332,“You have no clue what fascism is” Goes on to promote literal genocide tactics. You’re despicable
anger,fixed_by_minilm,0,1,0,0.679939,0.70092,"MeToo is about sharing personal stories of sexual assault. Reframing it as accusation based, and as furthering a kidnap, is fucking disgusting."
anger,fixed_by_minilm,0,1,0,0.609444,0.242184,"Despite all the [NAME] hate in/on /Melbourne, here is a beautiful Indian song for you all "
anger,fixed_by_minilm,1,0,1,0.179568,0.852742,Shes awful and its all about her. Try again. And when the show has awful ratings thatll be confirmed.
anger,regressed_in_minilm,0,0,1,0.412421,0.878306,"I know you're joking, but there are people here either stupid or desperate enough to believe and perpetuate such idiocy. "
anger,regressed_in_minilm,0,0,1,0.168658,0.881014,"Help, help, I'm being repressed!"
anger,regressed_in_minilm,0,0,1,0.326474,0.879106,Man I hate double standards. I love the show but change the word ‘white’ to ‘black’ and it’s suddenly not funny anymore
anger,regressed_in_minilm,1,1,0,0.65256,0.687353,Talk about an oldddd school shit coin.
anger,regressed_in_minilm,0,0,1,0.349548,0.850667,Ha. Do you have evidence of his cheating? Send it to his family and don’t say another word.
anger,regressed_in_minilm,0,0,1,0.407834,0.862686,i think people are just getting more and more fed up with playing against him
anger,regressed_in_minilm,0,0,1,0.327866,0.871757,Ouch. That hurt the ego. And that’s not easy to do.
anger,regressed_in_minilm,1,1,0,0.883025,0.753331,He’s going to the Bengals at 11 and I hate it so much
anger,regressed_in_minilm,0,0,1,0.49343,0.921442,The UN said the election was a sham. The man is causing death destruction and starvation. Your morals are completely and utterly fucked.
anger,regressed_in_minilm,0,0,1,0.267625,0.894589,Break up and be firm about. You’ve already admitted to being dishonest. Why lead him on?
annoyance,fixed_by_minilm,0,1,0,0.520932,0.592569,It's wonderful because it's awful. At not with.
annoyance,fixed_by_minilm,0,1,0,0.545185,0.268648,"Again, overall, not just for me. "
annoyance,fixed_by_minilm,1,0,1,0.50859,0.860847,Get back on your meds mate..You aren't funny at all...
annoyance,fixed_by_minilm,0,1,0,0.583672,0.498384,Crap. I need more Excedrin. STAT.
annoyance,fixed_by_minilm,0,1,0,0.550927,0.463041,Not really cringey. Its not really embarrassing for you i think people might just feel bad upon reading it.
annoyance,fixed_by_minilm,1,0,1,0.228371,0.797957,Wouldn't wipe my arse with it.
annoyance,fixed_by_minilm,0,1,0,0.53015,0.557656,You could still pay them... Just saying.
annoyance,fixed_by_minilm,0,1,0,0.750088,0.544643,The worst bbq in Texas Edit: Some of you are getting seriously r/wooooshed It's their slogan.
annoyance,fixed_by_minilm,0,1,0,0.550529,0.367261,Just be honest with this person. Sorry I didn’t read the whole thing I don’t have time rn :(
annoyance,fixed_by_minilm,0,1,0,0.597165,0.657521,That's a weird way of spelling Disenchanted
annoyance,regressed_in_minilm,0,0,1,0.174474,0.688787,"Girlfriend weak as well, that jump was pathetic."
annoyance,regressed_in_minilm,0,0,1,0.119897,0.726231,The thought of shooting anything at asylum seekers is appalling.
annoyance,regressed_in_minilm,0,0,1,0.358871,0.871006,Imagine having to pretend you didn't edit your link. The inferiority is dripping off you.
annoyance,regressed_in_minilm,0,0,1,0.482184,0.751605,You didn't watch it to the end.
annoyance,regressed_in_minilm,0,0,1,0.30425,0.687705,I think the fan base is mostly past that at this point. Almost everyone has MASSIVE problems with some of the decisions Nintendo makes.
annoyance,regressed_in_minilm,0,0,1,0.227576,0.890641,so wont back up your words? thats how i thought this would go.justifies *everything* I HAVE SAID.
annoyance,regressed_in_minilm,0,0,1,0.283811,0.800846,You take that back right now! [NAME] does not deserve this.
annoyance,regressed_in_minilm,0,0,1,0.23346,0.821317,Even the royals aren't immune to it.
annoyance,regressed_in_minilm,0,0,1,0.130857,0.712039,I'm sorry that's what you read because it isn't what I said.
annoyance,regressed_in_minilm,0,0,1,0.457374,0.927421,Man I hate double standards. I love the show but change the word ‘white’ to ‘black’ and it’s suddenly not funny anymore
approval,fixed_by_minilm,0,1,0,0.657275,0.478597,I've also heard that intriguing but also kinda scary
approval,fixed_by_minilm,0,1,0,0.877955,0.651354,Same here but it seems like that will make it more rewarding to actually build a base with gardens and stuff.
approval,fixed_by_minilm,0,1,0,0.684903,0.678127,I think the fan base is mostly past that at this point. Almost everyone has MASSIVE problems with some of the decisions Nintendo makes.
approval,fixed_by_minilm,0,1,0,0.642019,0.411824,It’s Woosh with 4 o’s r/woooosh (The most popular one)
approval,fixed_by_minilm,0,1,0,0.629825,0.657856,Some great advice right here!!!!!! I forgot about this
approval,fixed_by_minilm,0,1,0,0.655564,0.514954,"My girl has slowly been getting more and more into different [NAME] music, but she will always make it a point to play this track. I love it"
approval,fixed_by_minilm,1,0,1,0.313676,0.687007,I don’t think that would be an issue with [NAME]. He doesn’t seem like work ethic is his problem
approval,fixed_by_minilm,0,1,0,0.65817,0.600271,"Ok, fair enough. From your original post, it wasn't really clear that you looked at sources other than YouTube."
approval,fixed_by_minilm,0,1,0,0.62925,0.269364,"Just rumors online, it most likely won't happen"
approval,fixed_by_minilm,0,1,0,0.698868,0.592302,"Don't say ""no comment"". Say ""I would like to talk with an attorney before talking with you."""
approval,regressed_in_minilm,0,0,1,0.266399,0.760069,"Again, overall, not just for me. "
approval,regressed_in_minilm,0,0,1,0.369573,0.800337,"Possibly, but not if it actually succedes"
approval,regressed_in_minilm,0,0,1,0.321315,0.708803,so wont back up your words? thats how i thought this would go.justifies *everything* I HAVE SAID.
approval,regressed_in_minilm,0,0,1,0.196494,0.811825,You sure? They seem so much brighter on screen lol
approval,regressed_in_minilm,0,0,1,0.242015,0.772241,Not at all. I'm not going to argue with someone who doesn't understand what a strawman is.
approval,regressed_in_minilm,0,0,1,0.315536,0.813877,I feel you mate
approval,regressed_in_minilm,0,0,1,0.376306,0.745957,You could still pay them... Just saying.
approval,regressed_in_minilm,0,0,1,0.426068,0.813766,You have a nice bro.
approval,regressed_in_minilm,0,0,1,0.176033,0.747267,"I would hope the guy is genuine and honest, but in my circumstances, there's not much closure. "
approval,regressed_in_minilm,0,0,1,0.394274,0.727009,Unfortunately for us it’s not too early. But if you want way too early 2020 draft discussion I’m really high on [NAME] from Wisconsin
caring,fixed_by_minilm,1,0,1,0.469153,0.851504,please dont bring a woman in as a sex toy for you both. hire a sex worker instead
caring,fixed_by_minilm,0,1,0,0.755493,0.513553,OP is just a kid. Let's just move on.
caring,fixed_by_minilm,0,1,0,0.772146,0.110639,"They started seeling alcohol a while ago, when she called her mafia friend to get help for the speakeasy."
caring,fixed_by_minilm,0,1,0,0.72584,0.581393,I feel you mate
caring,fixed_by_minilm,1,0,1,0.420539,0.85627,"Hi, [NAME]! I thought I would stop by and wish you a wonderful and prosperous year! Have a good one! -HappyFriendlyBot"
caring,fixed_by_minilm,1,0,1,0.276219,0.926568,Just be honest with this person. Sorry I didn’t read the whole thing I don’t have time rn :(
caring,fixed_by_minilm,1,0,1,0.289497,0.937878,Praying for me family.
caring,fixed_by_minilm,0,1,0,0.655792,0.613328,"I am generally a happy person. If you like to pay millions of dollars to semi-literates to represent your government, it's up to you!"
caring,fixed_by_minilm,0,1,0,0.668075,0.788381,"Well done dude! Seriously :) But keep it up, don't lose this momentum."
caring,fixed_by_minilm,1,0,1,0.410211,0.874689,"Let it go, look to the future, do not live in the past"
caring,regressed_in_minilm,0,0,1,0.2088,0.841911,"I’m really sorry about your situation :( Although I love the names Sapphira, Cirilla, and Scarlett!"
caring,regressed_in_minilm,0,0,1,0.26215,0.914185,"if the pain doesn't go away after 4 hours or so, it's broke."
caring,regressed_in_minilm,0,0,1,0.11775,0.874305,This guy is a little turd but I love him so dearly. I'll pass on your kisses :)
caring,regressed_in_minilm,0,0,1,0.059035,0.957591,Some great advice right here!!!!!! I forgot about this
caring,regressed_in_minilm,0,0,1,0.078322,0.805052,Because of this bad situation some people are afraid of becoming youtubers because of this
caring,regressed_in_minilm,0,0,1,0.531868,0.820681,Ghost them. It’ll drive them crazy and give you the satisfaction
caring,regressed_in_minilm,0,0,1,0.466008,0.799371,helpful quad helped him to his feet!
caring,regressed_in_minilm,0,0,1,0.478336,0.919454,"Tl, dr - Take the abuse. Squirming only gets them off more."
caring,regressed_in_minilm,0,0,1,0.508419,0.818682,Thanks! Do you think I should talk to her or drop it for now?
caring,regressed_in_minilm,0,0,1,0.132602,0.866589,"It turns out he works for [NAME], so maybe your instinctive distrust might not have been the worst first reaction."
confusion,fixed_by_minilm,0,1,0,0.886973,0.166842,Thank you for asking questions and recognizing that there may be things that you don’t know or understand about police tactics. Seriously. Thank you.
confusion,fixed_by_minilm,1,0,1,0.539745,0.795741,I know people around here may mock me from my optimism but what if we get actual desings for the crusaders in Heroes?
confusion,fixed_by_minilm,0,1,0,0.853372,0.18489,"Hope gallery for sure, had [NAME] do mine and a good friend back in 2015. Not sure if he’s still there, however."
confusion,fixed_by_minilm,0,1,0,0.964844,0.064321,wh is that undertale
confusion,fixed_by_minilm,1,0,1,0.305518,0.846442,Where were they? I was trying to track them down and couldn’t remember where I saw them.
confusion,fixed_by_minilm,1,0,1,0.641251,0.865351,*looks at YouTube comments sections* Um. I'm not so sure.
confusion,fixed_by_minilm,0,1,0,0.957834,0.609139,How do you know this?
confusion,fixed_by_minilm,0,1,0,0.78494,0.385038,"What do you think women do? I’m quiet as a churchmouse when I mastrubate, too"
confusion,fixed_by_minilm,0,1,0,0.737019,0.188296,[NAME] and [NAME] going on a bike tour is awesome IDK why I love it so much
confusion,fixed_by_minilm,0,1,0,0.75956,0.360434,how does asperger feel like
confusion,regressed_in_minilm,0,0,1,0.077267,0.919326,What's your source for that? Just curious (and yes I know it sounds like a tired contrarian statement).
confusion,regressed_in_minilm,0,0,1,0.161103,0.768961,"I totally thought the same thing! I was like, oh honey nooooo!"
confusion,regressed_in_minilm,0,0,1,0.063049,0.927137,HUGE difference e b/t “seniors housing” and “nursing home.” HUGE DIFFERENCE.
confusion,regressed_in_minilm,0,0,1,0.125806,0.805984,"I would hope the guy is genuine and honest, but in my circumstances, there's not much closure. "
confusion,regressed_in_minilm,0,0,1,0.076381,0.936007,"It depends on who you ask. i didnt downvote you, im answering now"
confusion,regressed_in_minilm,0,0,1,0.115848,0.835056,i think people are just getting more and more fed up with playing against him
confusion,regressed_in_minilm,0,0,1,0.228182,0.886952,You also can’t prove it happened so logically this doesn’t exist and is a paradox that never happened therefore pi = 3.14159
confusion,regressed_in_minilm,0,0,1,0.35076,0.819899,Call it whatever you want. I’m just clearing a meaning that many atheists aren’t aware of or don’t consider.
confusion,regressed_in_minilm,0,0,1,0.142992,0.892575,"Yes, oops "
confusion,regressed_in_minilm,0,0,1,0.534809,0.791132,>if your car is so great why do you have to fill it with petrol all the time This is how stupid you sound
curiosity,fixed_by_minilm,0,1,0,0.70007,0.675249,I know people around here may mock me from my optimism but what if we get actual desings for the crusaders in Heroes?
curiosity,fixed_by_minilm,0,1,0,0.661476,0.015168,That’s how you know they’re happy.
curiosity,fixed_by_minilm,0,1,0,0.960044,0.793311,"Did they really have overhead projectors in the late 00s/early 10s? If so, how underfunded was your school?"
curiosity,fixed_by_minilm,0,1,0,0.812035,0.604373,How was the problem resolved??? Having the same issue????
curiosity,fixed_by_minilm,0,1,0,0.727567,0.404874,>if your car is so great why do you have to fill it with petrol all the time This is how stupid you sound
curiosity,fixed_by_minilm,0,1,0,0.823286,0.281398,The sad part about this is that these memes are more Gen Z if anything...
curiosity,fixed_by_minilm,0,1,0,0.996039,0.05415,wh is that undertale
curiosity,fixed_by_minilm,0,1,0,0.773635,0.357154,"Seeing how I was as a teen and how most teens are, nope! Dont want to deal with that."
curiosity,fixed_by_minilm,0,1,0,0.686751,0.209723,Time flies when you're a semiprofessional quotemaker. I wonder what he's up to these days.
curiosity,fixed_by_minilm,0,1,0,0.862284,0.837227,Have you tried having wealthy parents?
curiosity,regressed_in_minilm,0,0,1,0.110014,0.85214,May regret asking but foid ?
curiosity,regressed_in_minilm,1,1,0,0.983466,0.770328,What's your source for that? Just curious (and yes I know it sounds like a tired contrarian statement).
curiosity,regressed_in_minilm,1,1,0,0.69924,0.409969,What you mean you weren’t looking forward to that scene? ;)
curiosity,regressed_in_minilm,0,0,1,0.470984,0.887745,I'm not sure I have heard of this. Really interesting.
curiosity,regressed_in_minilm,0,0,1,0.532364,0.949591,Not sure how anyone whos been paying attention could
curiosity,regressed_in_minilm,0,0,1,0.474163,0.930071,"It depends on who you ask. i didnt downvote you, im answering now"
curiosity,regressed_in_minilm,1,1,0,0.651778,0.814762,Well what would make us special? He's vouching for his friend.
curiosity,regressed_in_minilm,0,0,1,0.111279,0.894877,"My friend and I have been having good fun queuing Mei/Winston, trololo, and 2 bottles of whisky."
curiosity,regressed_in_minilm,0,0,1,0.02195,0.97598,"Yes, oops "
curiosity,regressed_in_minilm,0,0,1,0.172828,0.855795,"Yes, he did. "
disappointment,fixed_by_minilm,0,1,0,0.649507,0.724151,And some of us wish to die first so we don't have to deal with the loneliness.
disappointment,fixed_by_minilm,0,1,0,0.699254,0.59603,Not really cringey. Its not really embarrassing for you i think people might just feel bad upon reading it.
disappointment,fixed_by_minilm,0,1,0,0.711268,0.278807,Unfortunately for us it’s not too early. But if you want way too early 2020 draft discussion I’m really high on [NAME] from Wisconsin
disappointment,fixed_by_minilm,0,1,0,0.576498,0.427714,"Wife just had our baby, and this story freaked me out. I can't imagine going through something like that."
disappointment,fixed_by_minilm,0,1,0,0.599131,0.606866,Not sad enough fo here the skeleton is dead so he can't comit sucide
disappointment,fixed_by_minilm,0,1,0,0.565853,0.258482,Pretty shit tbh with you
disappointment,fixed_by_minilm,0,1,0,0.758007,0.628182,I just see two inflated peacocks with a dumb and disgusting look in their face. But unfortunately I am not the gender evaluating them.
disappointment,fixed_by_minilm,1,0,1,0.157476,0.852437,The UN said the election was a sham. The man is causing death destruction and starvation. Your morals are completely and utterly fucked.
disappointment,fixed_by_minilm,0,1,0,0.711655,0.260499,"I have no faith, but the theodicy problem has multiple answers, I’m not too concerned with it."
disappointment,fixed_by_minilm,0,1,0,0.56769,0.2834,Oh god another injury
disappointment,regressed_in_minilm,0,0,1,0.043887,0.882864,I’m sorry to hear that friend :(. It’s for the best most likely if she didn’t accept you for who you are
disappointment,regressed_in_minilm,0,0,1,0.335808,0.789521,"if the pain doesn't go away after 4 hours or so, it's broke."
disappointment,regressed_in_minilm,0,0,1,0.309421,0.828891,NJ has zero of their own picks from the 2010 draft still in the org
disappointment,regressed_in_minilm,0,0,1,0.30471,0.83798,I'm going to hold out hope for something minor even though it looked really bad. Just going to wait for the official news.
disappointment,regressed_in_minilm,0,0,1,0.135802,0.904209,You didn't watch it to the end.
disappointment,regressed_in_minilm,0,0,1,0.21899,0.767696,I think the fan base is mostly past that at this point. Almost everyone has MASSIVE problems with some of the decisions Nintendo makes.
disappointment,regressed_in_minilm,0,0,1,0.394008,0.902898,"Help, help, I'm being repressed!"
disappointment,regressed_in_minilm,0,0,1,0.245894,0.759687,Papa Johns in my area basically gives away their pizza. I can smell the desperation in the store
disappointment,regressed_in_minilm,0,0,1,0.069571,0.918954,What happened to one of your star players?? i saw the headline 'freak injury' or someting like that.. but i was too scared to see someting gruesome..
disappointment,regressed_in_minilm,0,0,1,0.231021,0.759057,i think people are just getting more and more fed up with playing against him
disapproval,fixed_by_minilm,1,0,1,0.469636,0.993048,You didn't watch it to the end.
disapproval,fixed_by_minilm,0,1,0,0.57116,0.627724,It's real and it plays SO OFTEN I CAN'T STAND IT!!
disapproval,fixed_by_minilm,0,1,0,0.691291,0.617688,If there is no goal on this powerplay it will be difficult not to be hopeless
disapproval,fixed_by_minilm,1,0,1,0.503021,0.759466,No point in getting rid of Keemun for another Keemun.
disapproval,fixed_by_minilm,0,1,0,0.676032,0.472946,"No no she was ""[NAME]"""
disapproval,fixed_by_minilm,0,1,0,0.840366,0.479897,"Don't say ""no comment"". Say ""I would like to talk with an attorney before talking with you."""
disapproval,fixed_by_minilm,0,1,0,0.724784,0.645395,I have a bad feeling I’m gonna regret not tuning into this
disapproval,fixed_by_minilm,0,1,0,0.557194,0.617002,"No, what’s sad is saying the same message like it’s news. He’s a copy paste machine. No original thought."
disapproval,fixed_by_minilm,0,1,0,0.706349,0.194896,He has a girlfriend. Unfortunately she is not thick. He needs to take a page out of [NAME] book.
disapproval,fixed_by_minilm,0,1,0,0.702551,0.417472,Who needs sciences. It's most fake news they peddle in anyways...
disapproval,regressed_in_minilm,1,1,0,0.697521,0.46543,I never wanted to punch osap harder after seeing that However not too hardly I cant afford them taking everything away
disapproval,regressed_in_minilm,0,0,1,0.333155,0.797984,"I know you're joking, but there are people here either stupid or desperate enough to believe and perpetuate such idiocy. "
disapproval,regressed_in_minilm,0,0,1,0.533202,0.850499,"Possibly, but not if it actually succedes"
disapproval,regressed_in_minilm,0,0,1,0.034363,0.741018,What's your source for that? Just curious (and yes I know it sounds like a tired contrarian statement).
disapproval,regressed_in_minilm,0,0,1,0.174592,0.772007,Imagine having to pretend you didn't edit your link. The inferiority is dripping off you.
disapproval,regressed_in_minilm,0,0,1,0.377628,0.800843,I like to bring up the fact that all of these pyramid schemes have corporate offices that have the exact same structure they are railing against.
disapproval,regressed_in_minilm,0,0,1,0.307558,0.739633,I think the fan base is mostly past that at this point. Almost everyone has MASSIVE problems with some of the decisions Nintendo makes.
disapproval,regressed_in_minilm,0,0,1,0.063347,0.716603,so wont back up your words? thats how i thought this would go.justifies *everything* I HAVE SAID.
disapproval,regressed_in_minilm,1,1,0,0.656602,0.426451,"""But Aunt [NAME], I don't *want* to send Grandma back to Italy!"""
disapproval,regressed_in_minilm,0,0,1,0.471506,0.845547,Even the royals aren't immune to it.
disgust,fixed_by_minilm,0,1,0,0.972311,0.570986,The worst bbq in Texas Edit: Some of you are getting seriously r/wooooshed It's their slogan.
disgust,fixed_by_minilm,0,1,0,0.943005,0.947531,Shes awful and its all about her. Try again. And when the show has awful ratings thatll be confirmed.
disgust,fixed_by_minilm,0,1,0,0.949858,0.788899,This is creepy.
disgust,fixed_by_minilm,0,1,0,0.946038,0.905196,Yeah mason wasps are nasty little Tucker’s.
disgust,fixed_by_minilm,1,0,1,0.288005,0.97072,"That's horrible, good to know she is with an awesome guy."
disgust,fixed_by_minilm,1,0,1,0.492667,0.970955,Isn't she like a worse version of [NAME]? I always hear from everyone that she is pretty trash.
disgust,fixed_by_minilm,1,0,1,0.164396,0.967991,Tiki Lounge always smells like sewage. I'm surprise it's lasted this long.
disgust,fixed_by_minilm,0,1,0,0.858639,0.533313,i am a man and i disagree. i mean you logic is worse if you believe it.
disgust,fixed_by_minilm,0,1,0,0.985488,0.818728,[NAME] is the worst coach in bulls history
disgust,fixed_by_minilm,0,1,0,0.903364,0.932447,There is no assuming the worst. Its experience and taking things at face value.
disgust,regressed_in_minilm,0,0,1,0.098041,0.985917,Imagine having to pretend you didn't edit your link. The inferiority is dripping off you.
disgust,regressed_in_minilm,0,0,1,0.240525,0.985352,Not really cringey. Its not really embarrassing for you i think people might just feel bad upon reading it.
disgust,regressed_in_minilm,1,1,0,0.965541,0.460066,This sounds an awful lot like khorne......
disgust,regressed_in_minilm,0,0,1,0.423068,0.953973,Hey! Your mom sucks.
disgust,regressed_in_minilm,1,1,0,0.833798,0.736051,[NAME] can’t space and [NAME] is getting worse defensively
disgust,regressed_in_minilm,0,0,1,0.205416,0.982336,Yikes that's cringe
disgust,regressed_in_minilm,1,1,0,0.903101,0.836812,"MeToo is about sharing personal stories of sexual assault. Reframing it as accusation based, and as furthering a kidnap, is fucking disgusting."
disgust,regressed_in_minilm,0,0,1,0.049094,0.976736,Wich stinks for you
disgust,regressed_in_minilm,0,0,1,0.652283,0.998907,Oof that’s terrible
disgust,regressed_in_minilm,0,0,1,0.572375,0.96995,"I would try rubbing alcohol, high percentage. Looks greasy to me."
excitement,fixed_by_minilm,0,1,0,0.901945,0.594631,Oh boy 🤣🤣
excitement,fixed_by_minilm,0,1,0,0.677067,0.436739,Wow what a disappointing game. Wish we would have showed up
excitement,fixed_by_minilm,1,0,1,0.076054,0.901962,I'm so doing this!
excitement,fixed_by_minilm,1,0,1,0.351068,0.923715,Welcome to the freedom and democracy circus that is 'mercuh! 👍
excitement,fixed_by_minilm,1,0,1,0.167428,0.89948,Wowowowow!!!! I’ve been campaigning for [NAME] too!
excitement,fixed_by_minilm,0,1,0,0.681076,0.67654,"Wow, 5 downvotes in 3 minutes. Go you!"
excitement,fixed_by_minilm,0,1,0,0.652936,0.50391,Now go to Gulag!!!!
excitement,fixed_by_minilm,0,1,0,0.801363,0.883228,I listened to this song the other day for the first time and... oh boy yeah
excitement,fixed_by_minilm,0,1,0,0.761714,0.416798,Wiggins midrange magic!
excitement,fixed_by_minilm,0,1,0,0.739919,0.789544,You know a giant lady as a character would be very interesting in my opinion.
excitement,regressed_in_minilm,0,0,1,0.475443,0.913204,100%! Congrats on your job too!
excitement,regressed_in_minilm,0,0,1,0.095861,0.94092,Same here but it seems like that will make it more rewarding to actually build a base with gardens and stuff.
excitement,regressed_in_minilm,0,0,1,0.032241,0.900303,What's that like? Like what's the thought process? I dunno. I know what's a weird question..i just can't imagine
excitement,regressed_in_minilm,0,0,1,0.029585,0.998018,A surprise turn of events! I'm so glad you heard such great things about yourself!
excitement,regressed_in_minilm,0,0,1,0.280458,0.925186,This is honestly the cherry on top of the cake with this story. That's absolutely hilarious!
excitement,regressed_in_minilm,0,0,1,0.196316,0.965881,"My friend and I have been having good fun queuing Mei/Winston, trololo, and 2 bottles of whisky."
excitement,regressed_in_minilm,0,0,1,0.040889,0.937159,Hhhhhaaarrryyy [NAME]!
excitement,regressed_in_minilm,0,0,1,0.264509,0.984327,"That's what I'd hope for! Retool the D day 1, if we could find a gem at QB day 2. "
excitement,regressed_in_minilm,0,0,1,0.626501,0.989887,"Thank you, that is interesting!"
excitement,regressed_in_minilm,0,0,1,0.374164,0.921206,CAPTAIN!! ye-yeah? LOOK!!!
fear,fixed_by_minilm,1,0,1,0.03526,0.941353,"Help, help, I'm being repressed!"
fear,fixed_by_minilm,0,1,0,0.698572,0.486797,"Verisimilitude, which here means, utter bs meant to help justify terrible favouritism."
fear,fixed_by_minilm,0,1,0,0.563208,0.405417,China cheating the rest of the world is horrible for the economy and society.
fear,fixed_by_minilm,0,1,0,0.642433,0.037691,It’s a terrible thing when someone who doesn’t let themselves laugh has a reddit account
